Function,Memory Size,Max Memory Used,Duration,Billed Duration,UTCTimestamp,RequestId
f1,1536,59,413.98,500,1580351348.0,08736d9a-963c-4002-baff-ba63b4ccd553
f1,1536,59,413.3,500,1580351358.0,3a674580-afad-4bae-b436-bd82455f8841
f1,1536,59,415.95,500,1580351369.0,720cf02a-c50e-4123-977a-d5e64e6b8d5a
f1,1536,59,717.88,800,1580351379.0,337219ca-256b-4b81-8c9d-c53c9d83a984
f1,1536,59,820.47,900,1580351389.0,7f99ff4b-178d-4529-a7a1-564b8e9fc3ee
f1,1536,59,810.9,900,1580351399.0,acd08ed8-c5cc-4e1e-8ad0-d154f8f90232
f1,1536,59,833.98,900,1580351410.0,bab934e9-4656-4ed4-a2c4-6cf8b92ed834
f1,1536,59,819.52,900,1580351420.0,7b1e4715-bd69-43be-bdc5-b5a03af47968
f1,1536,59,826.04,900,1580351430.0,5558148a-bbeb-42f2-a4e1-27781b0c56a6
f1,1536,59,741.36,800,1580351440.0,c3b547bb-456d-483e-abb0-ca0619e4db4b
f1,1536,59,816.16,900,1580351450.0,efc997a7-6449-4572-9d91-f890659bc40a
f1,1536,59,834.89,900,1580351461.0,9c35b452-1eef-43c8-a1ae-27f6291cd996
f1,1536,59,812.03,900,1580351471.0,00b5d34c-979a-4dd1-9c69-44224c656d5c
f1,1536,59,815.59,900,1580351481.0,b18e5d1c-1a20-4c7f-b44d-d665be6150fc
f1,1536,59,830.73,900,1580351491.0,1177b53e-ac6d-4d2f-b433-88e9df806dcb
f1,1536,59,825.47,900,1580351501.0,dfba2283-78c9-4899-bcb1-0cb8cd267bb2
f1,1536,60,823.74,900,1580351511.0,529db781-5d05-4582-8429-2a69461c6b74
f1,1536,60,732.47,800,1580351522.0,0ac15e87-5dfd-4745-9623-24d986f201c5
f1,1536,60,760.89,800,1580351532.0,20519459-9816-4c1d-b581-ec3471612868
f1,1536,60,819.27,900,1580351542.0,5db90740-0ac2-4b64-a48b-45f66c4607d5
