Start,End
1580355691.443,1580355694.823
1580355701.601,1580355704.504
1580355711.781,1580355714.264
1580355722.071,1580355724.643
1580355732.226,1580355736.344
1580355742.408,1580355744.983
1580355752.57,1580355755.145
1580355762.764,1580355765.305
1580355772.955,1580355776.544
1580355783.135,1580355786.944
1580355793.294,1580355795.904
1580355803.464,1580355808.005
1580355813.64,1580355817.024
1580355823.862,1580355826.464
1580355834.023,1580355836.624
1580355844.275,1580355847.445
1580355854.46,1580355857.244
1580355864.628,1580355867.225
1580355874.831,1580355878.224
1580355885.004,1580355889.465
1580355895.159,1580355898.366
1580355905.371,1580355909.586
1580355915.583,1580355918.765
1580355925.756,1580355929.625
1580355936.18,1580355940.025
1580355946.339,1580355948.926
1580355956.513,1580355959.067
1580355966.7,1580355969.466
1580355976.869,1580355980.625
1580355986.999,1580355989.546
1580355997.155,1580355999.765
1580356007.312,1580356011.226
1580356017.462,1580356020.147
1580356027.629,1580356030.326
1580356037.865,1580356040.426
1580356048.037,1580356050.586
1580356058.173,1580356061.526
1580356068.339,1580356070.907
1580356078.507,1580356081.106
1580356088.665,1580356091.227
1580356098.816,1580356102.126
1580356109.001,1580356111.947
1580356119.134,1580356122.307
1580356129.306,1580356132.107
1580356139.501,1580356142.093
1580356149.645,1580356152.447
1580356159.807,1580356162.387
1580356169.978,1580356172.547
1580356180.489,1580356183.067
1580356190.676,1580356193.228
1580356200.843,1580356203.387
1580356211.002,1580356213.888
1580356221.18,1580356223.968
1580356231.397,1580356233.949
1580356241.539,1580356244.188
1580356251.744,1580356254.308
1580356261.965,1580356265.228
1580356272.118,1580356275.228
1580356282.303,1580356285.229
1580356292.47,1580356295.43
1580356302.653,1580356305.989
1580356312.861,1580356316.649
1580356323.076,1580356325.869
1580356333.243,1580356337.388
1580356343.432,1580356345.989
1580356353.603,1580356358.149
1580356363.77,1580356366.429
1580356373.954,1580356376.489
1580356384.152,1580356386.769
1580356394.357,1580356396.949
1580356404.572,1580356407.909
1580356414.735,1580356418.05
1580356425.178,1580356427.81
1580356435.347,1580356437.97
1580356445.497,1580356449.309
1580356455.676,1580356459.049
1580356465.833,1580356468.77
1580356476.029,1580356478.629
1580356486.227,1580356490.791
1580356496.366,1580356500.15
1580356506.542,1580356509.21
1580356516.7,1580356521.75
1580356526.884,1580356529.432
1580356537.047,1580356540.851
1580356547.281,1580356549.97
1580356557.468,1580356561.35
1580356567.637,1580356570.972
1580356577.815,1580356580.991
1580356587.966,1580356590.93
1580356598.123,1580356602.391
1580356608.267,1580356610.931
1580356618.438,1580356621.131
1580356628.625,1580356631.851
1580356638.779,1580356641.451
1580356648.891,1580356652.771
1580356659.046,1580356662.871
1580356669.504,1580356673.032
1580356679.672,1580356682.931
1580356689.86,1580356692.793
1580356700.034,1580356703.292
1580356710.211,1580356713.272
1580356720.37,1580356723.573
1580356730.615,1580356733.172
1580356740.798,1580356744.992
1580356750.939,1580356754.492
1580356761.161,1580356765.053
1580356771.314,1580356775.612
1580356781.49,1580356785.433
1580356791.675,1580356794.312
1580356801.857,1580356807.034
1580356812.03,1580356815.232
1580356822.226,1580356824.853
1580356832.41,1580356835.952
1580356842.589,1580356846.172
1580356852.81,1580356856.653
1580356862.991,1580356866.172
1580356873.165,1580356877.473
1580356883.352,1580356886.553
1580356893.521,1580356897.413
1580356903.729,1580356906.533
1580356914.162,1580356916.814
1580356924.387,1580356927.694
1580356934.548,1580356937.113
1580356944.735,1580356948.633
1580356954.884,1580356958.154
1580356965.079,1580356967.694
1580356975.276,1580356978.554
1580356985.491,1580356988.114
1580356995.653,1580356998.334
1580357005.903,1580357008.914
1580357016.089,1580357021.254
1580357026.243,1580357029.215
1580357036.436,1580357039.055
1580357046.604,1580357050.535
1580357056.761,1580357060.774
1580357066.948,1580357070.195
1580357077.135,1580357081.955
1580357087.346,1580357090.614
1580357097.526,1580357100.714
1580357107.711,1580357110.295
1580357117.869,1580357120.536
1580357128.048,1580357130.716
1580357138.253,1580357140.856
1580357148.413,1580357150.996
1580357158.846,1580357163.075
1580357169.012,1580357171.636
1580357179.22,1580357182.396
1580357189.373,1580357192.055
1580357199.543,1580357202.117
1580357209.705,1580357212.936
1580357219.896,1580357222.519
1580357230.048,1580357233.016
1580357240.222,1580357244.037
1580357250.392,1580357253.917
1580357260.53,1580357264.377
1580357270.72,1580357273.336
1580357280.895,1580357285.117
1580357291.051,1580357293.816
1580357301.231,1580357304.557
1580357311.453,1580357314.077
1580357321.593,1580357325.257
1580357331.775,1580357335.998
1580357342.143,1580357345.937
1580357352.351,1580357355.278
1580357362.519,1580357365.117
1580357372.697,1580357376.902
1580357382.901,1580357386.038
1580357393.149,1580357396.078
1580357403.852,1580357406.418
1580357414.144,1580357417.077
1580357424.304,1580357427.578
1580357434.473,1580357437.058
1580357444.671,1580357447.898
1580357454.873,1580357458.159
1580357465.078,1580357467.698
1580357475.282,1580357478.238
1580357485.451,1580357488.379
1580357495.613,1580357498.199
1580357505.791,1580357509.018
1580357516.01,1580357518.64
1580357526.184,1580357529.459
1580357536.354,1580357538.958
1580357546.573,1580357549.539
1580357556.74,1580357559.319
1580357566.902,1580357569.478
1580357577.084,1580357580.3
1580357587.301,1580357592.039
1580357597.454,1580357601.379
1580357607.624,1580357610.639
1580357617.792,1580357620.759
1580357627.951,1580357631.119
1580357638.109,1580357641.099
1580357648.626,1580357653.82
1580357658.823,1580357662.14
1580357669.009,1580357672.179
1580357679.153,1580357683.76
1580357689.303,1580357691.879
1580357699.556,1580357702.18
1580357709.705,1580357713.62
1580357719.832,1580357723.66
1580357730.059,1580357733.84
1580357740.21,1580357743.92
1580357750.379,1580357754.9
1580357760.521,1580357763.121
1580357770.698,1580357773.321
1580357780.873,1580357784.121
1580357791.023,1580357794.861
1580357801.189,1580357805.041
1580357811.367,1580357813.961
1580357821.636,1580357824.841
1580357831.824,1580357834.442
1580357841.986,1580357845.842
1580357852.157,1580357854.761
1580357862.309,1580357864.921
1580357872.456,1580357875.482
1580357882.634,1580357886.462
1580357893.115,1580357895.781
1580357903.304,1580357905.902
1580357913.525,1580357916.962
1580357923.63,1580357926.224
1580357933.785,1580357938.023
1580357943.997,1580357947.221
1580357954.223,1580357958.502
1580357964.421,1580357967.023
1580357974.573,1580357977.243
1580357984.747,1580357987.283
1580357994.91,1580357998.143
1580358005.052,1580358008.062
1580358015.165,1580358017.863
1580358025.351,1580358028.024
1580358035.5,1580358038.123
1580358045.661,1580358048.682
1580358055.835,1580358059.523
1580358065.973,1580358069.304
1580358076.135,1580358078.823
1580358086.332,1580358089.783
1580358096.503,1580358099.824
1580358106.675,1580358109.724
1580358116.863,1580358119.804
1580358127.02,1580358130.324
1580358137.481,1580358140.184
1580358147.689,1580358151.024
1580358157.872,1580358160.564
1580358168.082,1580358170.804
1580358178.286,1580358181.605
1580358188.477,1580358192.624
1580358198.683,1580358201.304
1580358208.862,1580358211.464
1580358219.058,1580358221.745
1580358229.219,1580358232.127
1580358239.406,1580358242.085
1580358249.615,1580358253.964
1580358259.815,1580358264.084
1580358270.01,1580358272.884
1580358280.204,1580358282.865
1580358290.413,1580358293.285
1580358300.595,1580358303.266
1580358310.804,1580358314.225
1580358321.047,1580358324.605
1580358331.253,1580358333.966
1580358341.44,1580358344.105
1580358351.626,1580358354.325
1580358361.885,1580358364.585
1580358372.121,1580358376.166
1580358382.538,1580358385.706
1580358392.709,1580358395.766
1580358402.919,1580358405.827
1580358413.127,1580358417.047
1580358423.296,1580358427.227
1580358433.459,1580358436.806
1580358443.619,1580358446.987
1580358453.774,1580358456.487
1580358463.977,1580358466.867
1580358474.127,1580358476.807
1580358484.33,1580358486.987
1580358494.488,1580358497.466
1580358504.716,1580358507.427
1580358514.851,1580358517.548
1580358525.022,1580358527.706
1580358535.183,1580358538.527
1580358545.348,1580358547.967
1580358555.531,1580358558.208
1580358565.699,1580358569.087
1580358575.863,1580358579.787
1580358586.04,1580358588.707
1580358596.189,1580358598.908
1580358606.356,1580358608.968
1580358616.535,1580358620.467
1580358626.938,1580358630.269
1580358637.164,1580358639.828
1580358647.385,1580358650.448
1580358657.544,1580358661.81
1580358667.771,1580358670.449
1580358678.017,1580358680.708
1580358688.202,1580358691.608
1580358698.412,1580358701.308
1580358708.65,1580358711.629
1580358718.848,1580358722.808
1580358729.036,1580358731.688
1580358739.269,1580358741.969
1580358749.42,1580358752.749
1580358759.614,1580358764.289
1580358769.825,1580358772.529
1580358780.05,1580358783.469
1580358790.238,1580358793.59
1580358800.469,1580358805.149
1580358810.743,1580358813.83
1580358820.936,1580358823.991
1580358831.123,1580358834.15
1580358841.4,1580358844.291
1580358851.6,1580358854.283
1580358861.771,1580358867.451
1580358872.242,1580358875.889
1580358882.424,1580358885.79
1580358892.612,1580358896.05
1580358902.886,1580358905.63
1580358913.045,1580358915.77
1580358923.182,1580358926.91
1580358933.355,1580358936.091
1580358943.531,1580358946.732
1580358953.731,1580358957.131
1580358963.935,1580358967.131
1580358974.132,1580358978.23
1580358984.316,1580358987.771
1580358994.465,1580358997.651
1580359004.663,1580359007.751
1580359014.797,1580359018.632
1580359024.957,1580359028.351
1580359035.133,1580359038.271
1580359045.288,1580359048.091
1580359055.512,1580359058.932
1580359065.69,1580359068.653
1580359075.839,1580359078.652
1580359086.021,1580359090.452
1580359096.18,1580359099.633
1580359106.344,1580359109.732
1580359116.887,1580359119.732
1580359127.009,1580359130.832
1580359137.154,1580359140.493
1580359147.352,1580359151.772
1580359157.538,1580359161.553
1580359167.74,1580359170.874
1580359177.929,1580359180.733
1580359188.099,1580359192.212
1580359198.27,1580359201.372
1580359208.459,1580359211.273
1580359218.645,1580359221.432
1580359228.855,1580359231.673
1580359239.066,1580359242.133
1580359249.242,1580359252.293
1580359259.42,1580359263.573
1580359269.62,1580359272.594
1580359279.8,1580359283.294
1580359289.96,1580359292.874
1580359300.194,1580359303.573
1580359310.358,1580359314.113
1580359320.536,1580359323.674
1580359330.707,1580359333.513
1580359340.87,1580359343.714
1580359351.068,1580359353.914
1580359361.528,1580359364.394
1580359371.705,1580359375.234
1580359381.998,1580359384.754
1580359392.217,1580359396.335
1580359402.392,1580359405.474
1580359412.618,1580359415.474
1580359422.778,1580359426.175
1580359432.953,1580359436.516
1580359443.166,1580359446.154
1580359453.337,1580359456.335
1580359463.508,1580359468.794
1580359473.689,1580359477.694
1580359483.952,1580359487.655
1580359494.133,1580359497.595
1580359504.326,1580359507.735
1580359514.532,1580359517.376
1580359524.719,1580359527.775
1580359534.882,1580359538.375
1580359545.045,1580359547.897
1580359555.213,1580359557.976
1580359565.37,1580359568.176
1580359575.534,1580359578.596
1580359585.728,1580359588.755
1580359595.875,1580359599.937
1580359606.356,1580359609.275
1580359616.579,1580359621.398
1580359626.758,1580359630.197
1580359636.914,1580359640.856
1580359647.074,1580359649.856
1580359657.271,1580359660.157
1580359667.414,1580359670.396
1580359677.578,1580359681.636
1580359687.737,1580359690.536
1580359697.929,1580359701.471
1580359708.128,1580359712.202
1580359718.298,1580359721.737
1580359728.437,1580359732.877
1580359738.615,1580359741.417
1580359748.801,1580359754.758
1580359758.946,1580359762.397
1580359769.114,1580359772.577
1580359779.277,1580359782.077
1580359789.43,1580359793.857
1580359799.622,1580359803.178
1580359809.785,1580359813.899
1580359819.951,1580359824.059
1580359830.138,1580359834.058
1580359840.291,1580359843.298
1580359850.766,1580359855.498
1580359860.933,1580359863.72
1580359871.142,1580359875.219
1580359881.36,1580359884.178
1580359891.53,1580359894.299
1580359901.694,1580359904.518
1580359911.877,1580359916.299
1580359922.151,1580359924.918
1580359932.368,1580359935.378
1580359942.517,1580359945.499
1580359952.682,1580359956.719
1580359962.842,1580359966.02
1580359973.02,1580359975.859
1580359983.249,1580359986.079
1580359993.41,1580359996.219
1580360003.61,1580360007.519
1580360013.801,1580360016.64
1580360023.967,1580360026.779
1580360034.164,1580360038.705
1580360044.388,1580360047.26
1580360054.578,1580360057.36
1580360064.76,1580360068.18
1580360074.924,1580360078.94
1580360085.088,1580360088.88
1580360095.554,1580360101.261
1580360105.738,1580360108.542
1580360115.886,1580360119.26
1580360126.016,1580360128.82
1580360136.181,1580360139.3
1580360146.385,1580360149.82
1580360156.55,1580360159.28
1580360166.646,1580360170.221
1580360176.836,1580360180.66
1580360186.974,1580360190.181
1580360197.179,1580360199.781
1580360207.321,1580360209.942
1580360217.541,1580360220.741
1580360227.721,1580360230.642
1580360237.897,1580360241.161
1580360248.052,1580360250.661
1580360258.285,1580360260.901
1580360268.46,1580360272.361
1580360278.699,1580360282.702
1580360288.867,1580360292.462
1580360299.067,1580360301.702
1580360309.245,1580360311.962
1580360319.41,1580360322.622
1580360329.583,1580360332.202
1580360340.02,1580360343.393
1580360350.236,1580360354.143
1580360360.37,1580360363.063
1580360370.56,1580360373.142
1580360380.72,1580360384.523
1580360390.891,1580360393.562
1580360401.027,1580360405.142
1580360411.231,1580360417.523
1580360421.397,1580360424.003
1580360431.573,1580360436.903
1580360441.738,1580360444.683
1580360451.895,1580360455.644
1580360462.199,1580360466.564
1580360472.336,1580360476.284
1580360482.487,1580360485.164
1580360492.653,1580360495.843
1580360502.809,1580360505.483
1580360513.001,1580360516.963
1580360523.187,1580360525.823
1580360533.378,1580360536.643
1580360543.532,1580360546.625
1580360553.741,1580360558.307
1580360563.977,1580360567.345
1580360574.112,1580360576.844
1580360584.521,1580360587.144
1580360594.687,1580360599.684
1580360604.902,1580360608.844
1580360615.07,1580360617.705
1580360625.258,1580360628.764
1580360635.409,1580360638.744
1580360645.591,1580360648.265
1580360655.766,1580360659.384
1580360665.941,1580360668.805
1580360676.124,1580360679.505
1580360686.312,1580360688.95
1580360696.463,1580360699.725
1580360706.625,1580360709.565
1580360716.792,1580360719.366
1580360726.977,1580360729.567
1580360737.146,1580360740.506
1580360747.358,1580360751.286
