,1M_Exe_Cost
60,83.29700000000001
61,59.217999999999996
62,89.445
63,60.998999999999995
64,83.29700000000001
65,86.63199999999999
66,86.944
67,89.445
68,89.445
69,83.905
70,82.881
71,83.29700000000001
72,94.238
73,55.685
74,90.47699999999999
75,97.885
76,89.445
77,86.83000000000001
78,60.998999999999995
79,89.445
80,87.86200000000001
81,86.528
82,128.797
83,109.73599999999999
84,58.498000000000005
85,89.445
86,59.53
87,105.89099999999999
88,108.704
89,62.031000000000006
90,85.798
91,89.445
92,58.498000000000005
93,59.54
94,58.498000000000005
95,105.89099999999999
96,58.498000000000005
97,89.445
98,62.031000000000006
99,86.944
100,89.445
101,85.798
102,58.498000000000005
103,93.09200000000001
104,58.498000000000005
105,60.998999999999995
106,84.32900000000001
107,62.031000000000006
108,60.998999999999995
109,59.217999999999996
110,86.83000000000001
111,87.778
112,58.18599999999999
113,60.998999999999995
114,86.944
115,80.48400000000001
116,62.031000000000006
117,85.798
118,87.66399999999999
119,86.944
120,60.998999999999995
121,90.59100000000001
122,87.66399999999999
123,83.913
124,83.29700000000001
125,83.29700000000001
126,108.704
127,85.798
128,85.798
129,60.998999999999995
130,60.562
131,85.798
132,89.445
133,60.998999999999995
134,60.998999999999995
135,60.998999999999995
136,89.926
137,62.031000000000006
138,90.59100000000001
139,85.798
140,58.498000000000005
141,60.998999999999995
142,84.32900000000001
143,89.445
144,89.445
145,84.131
146,62.031000000000006
147,90.47699999999999
148,85.798
149,84.443
150,80.38
151,83.29700000000001
152,99.449
153,83.29700000000001
154,83.29700000000001
155,84.131
156,58.498000000000005
157,83.29700000000001
158,86.944
159,83.29700000000001
160,103.39
161,90.59100000000001
162,83.905
163,86.944
164,84.131
165,58.498000000000005
166,83.29700000000001
167,86.944
168,57.039
169,80.796
170,90.59100000000001
171,55.685
172,84.131
173,60.998999999999995
174,60.998999999999995
175,89.445
176,56.717
177,89.445
178,89.445
179,89.445
180,74.325
181,50.995
182,83.08800000000001
183,73.901
184,83.29700000000001
185,60.562
186,86.944
187,60.998999999999995
188,62.031000000000006
189,80.48400000000001
190,84.02700000000002
191,85.798
192,86.944
193,80.48400000000001
194,58.18599999999999
195,89.445
196,85.798
197,60.998999999999995
198,83.29700000000001
199,59.53
200,89.445
201,130.86100000000002
202,60.998999999999995
203,85.798
204,58.498000000000005
205,60.998999999999995
206,87.56
207,60.998999999999995
208,83.905
209,60.998999999999995
210,58.498000000000005
211,58.498000000000005
212,86.944
213,84.32900000000001
214,59.217999999999996
215,79.32700000000001
216,78.692
217,80.473
218,50.995
219,81.94200000000001
220,74.01299999999999
221,76.628
222,79.441
223,127.75399999999999
224,80.473
225,79.85900000000001
226,53.495999999999995
227,55.997
228,55.997
229,75.48200000000001
230,78.90300000000002
231,55.997
232,99.108
233,80.796
234,84.443
235,84.443
236,77.983
237,84.443
238,87.976
239,58.498000000000005
240,55.685
241,86.944
242,83.29700000000001
243,81.40400000000001
244,59.53
245,86.944
246,58.498000000000005
247,83.29700000000001
248,58.498000000000005
249,84.32900000000001
250,78.59100000000001
251,58.498000000000005
252,84.131
253,86.944
254,84.131
255,84.131
256,90.59100000000001
257,84.32900000000001
258,91.62300000000002
259,87.976
260,91.62300000000002
261,55.685
262,60.998999999999995
263,58.498000000000005
264,86.944
265,58.498000000000005
266,86.944
267,57.039
268,87.976
269,83.29700000000001
270,58.498000000000005
271,58.498000000000005
272,86.944
273,83.29700000000001
274,86.944
275,83.29700000000001
276,79.623
277,86.944
278,56.717
279,55.685
280,89.445
281,86.944
282,86.944
283,87.976
284,84.131
285,86.944
286,84.32900000000001
287,55.685
288,86.63199999999999
289,90.47699999999999
290,109.53800000000001
291,89.445
292,58.18599999999999
293,82.985
294,60.998999999999995
295,82.985
296,62.031000000000006
297,89.445
298,62.031000000000006
299,60.998999999999995
300,60.998999999999995
301,85.798
302,89.445
303,60.998999999999995
304,60.998999999999995
305,90.47699999999999
306,84.01700000000001
307,81.092
308,60.998999999999995
309,60.998999999999995
310,84.01700000000001
311,85.798
312,93.09200000000001
313,89.445
314,62.031000000000006
315,89.445
316,96.73899999999999
317,85.798
318,60.998999999999995
319,83.905
320,91.509
321,58.18599999999999
322,89.445
323,83.905
324,60.998999999999995
325,58.18599999999999
326,86.63199999999999
327,89.445
328,60.998999999999995
329,86.63199999999999
330,85.798
331,105.89099999999999
332,59.54
333,83.29700000000001
334,83.29700000000001
335,58.18599999999999
336,80.48400000000001
337,83.29700000000001
338,86.944
339,55.685
340,85.798
341,86.944
342,60.998999999999995
343,86.944
344,59.53
345,58.498000000000005
346,86.944
347,86.944
348,86.944
349,86.83000000000001
350,83.29700000000001
351,86.944
352,55.685
353,108.267
354,57.039
355,86.944
356,83.29700000000001
357,89.445
358,90.47699999999999
359,103.39
360,57.039
361,60.998999999999995
362,86.944
363,93.09200000000001
364,91.62300000000002
365,59.53
366,56.717
367,60.998999999999995
